order_id,customer_id,product_sku,quantity,unit_price,order_date,channel
WEB0000,C192,SKU-MILK-037,4,6.16,2026-04-10,mobile
WEB0001,C263,SKU-APPLE-034,3,7.97,2026-04-06,mobile
WEB0002,C282,SKU-JUICE-003,9,8.2,2026-05-04,web
WEB0003,C152,SKU-JUICE-018,2,6.81,2026-04-17,web
WEB0004,C283,SKU-APPLE-003,2,8.98,2026-04-25,web
WEB0005,C161,SKU-APPLE-042,8,3.57,2026-04-12,mobile
WEB0006,C123,SKU-APPLE-040,8,2.04,2026-04-17,mobile
WEB0007,C183,SKU-JUICE-015,8,7.43,2026-04-20,web
WEB0008,C190,SKU-JUICE-048,7,4.11,2026-04-19,mobile
WEB0009,C114,SKU-BREAD-017,4,1.34,2026-04-08,mobile
WEB0010,C200,SKU-APPLE-046,15,3.66,2026-05-01,web
WEB0011,C106,SKU-MILK-004,11,5.32,2026-04-18,mobile
WEB0012,C114,SKU-JUICE-007,2,7.84,2026-04-07,web
WEB0013,C249,SKU-BREAD-030,6,5.8,2026-05-04,web
WEB0014,C261,SKU-APPLE-043,4,7.66,2026-04-08,mobile
WEB0015,C178,SKU-JUICE-043,8,7.93,2026-04-26,web
WEB0016,C268,SKU-JUICE-033,9,5.22,2026-04-11,web
WEB0017,C196,SKU-MILK-007,11,3.33,2026-04-27,mobile
WEB0018,C184,SKU-APPLE-009,7,6.93,2026-04-25,mobile
WEB0019,C154,SKU-BREAD-021,11,7.37,2026-04-15,mobile
WEB0020,C201,SKU-APPLE-018,5,6.21,2026-04-09,web
WEB0021,C144,SKU-APPLE-039,9,6.89,2026-04-06,web
WEB0022,C120,SKU-MILK-042,12,4.27,2026-04-29,mobile
WEB0023,C262,SKU-BREAD-015,12,8.23,2026-04-25,mobile
WEB0024,C230,SKU-BREAD-002,11,3.39,2026-04-13,mobile
WEB0025,C260,SKU-JUICE-023,1,4.28,2026-04-19,web
WEB0026,C271,SKU-APPLE-029,13,6.71,2026-04-29,mobile
WEB0027,C170,SKU-BREAD-036,7,8.02,2026-04-30,mobile
WEB0028,C225,SKU-JUICE-020,4,7.18,2026-04-18,web
WEB0029,C118,SKU-BREAD-035,7,3.53,2026-04-26,web
WEB0030,C287,SKU-APPLE-021,10,8.53,2026-04-19,mobile
WEB0031,C243,SKU-BREAD-025,9,5.3,2026-04-24,web
WEB0032,C133,SKU-JUICE-005,15,6.9,2026-04-23,web
WEB0033,C212,SKU-BREAD-031,4,4.67,2026-04-27,web
WEB0034,C292,SKU-APPLE-010,4,1.78,2026-04-12,web
WEB0035,C266,SKU-MILK-037,15,5.39,2026-04-27,web
WEB0036,C242,SKU-BREAD-049,15,8.77,2026-04-18,web
WEB0037,C281,SKU-JUICE-003,14,6.68,2026-04-06,mobile
WEB0038,C141,SKU-JUICE-033,14,5.97,2026-04-21,web
WEB0039,C285,SKU-MILK-032,10,9.01,2026-04-20,mobile
WEB0040,C112,SKU-APPLE-031,4,4.89,2026-04-13,web
WEB0041,C241,SKU-JUICE-022,11,4.47,2026-04-14,mobile
WEB0042,C204,SKU-MILK-040,3,1.64,2026-04-25,mobile
WEB0043,C238,SKU-APPLE-005,1,1.38,2026-04-14,web
WEB0044,C214,SKU-MILK-013,7,9.03,2026-04-18,mobile
WEB0045,C220,SKU-BREAD-034,4,5.65,2026-04-25,mobile
WEB0046,C259,SKU-BREAD-034,12,1.74,2026-04-23,mobile
WEB0047,C202,SKU-APPLE-031,1,5.52,2026-05-03,web
WEB0048,C289,SKU-JUICE-018,15,8.05,2026-04-26,web
WEB0049,C180,SKU-MILK-021,8,3.98,2026-04-20,mobile
WEB0050,C248,SKU-APPLE-042,9,5.34,2026-04-11,web
WEB0051,C122,SKU-BREAD-029,3,6.89,2026-04-20,web
WEB0052,C167,SKU-BREAD-020,5,1.79,2026-04-27,web
WEB0053,C179,SKU-APPLE-017,8,2.58,2026-04-13,mobile
WEB0054,C282,SKU-BREAD-038,13,3.07,2026-04-10,mobile
WEB0055,C159,SKU-BREAD-033,7,9.2,2026-04-29,mobile
WEB0056,C198,SKU-JUICE-032,8,4.76,2026-04-21,mobile
WEB0057,C123,SKU-APPLE-049,4,4.45,2026-04-20,mobile
WEB0058,C254,SKU-MILK-009,11,4.84,2026-04-28,mobile
WEB0059,C253,SKU-JUICE-049,13,6.42,2026-04-13,mobile
WEB0060,C229,SKU-MILK-043,8,1.4,2026-04-10,web
WEB0061,C279,SKU-APPLE-005,14,5.86,2026-04-30,web
WEB0062,C244,SKU-JUICE-028,3,7.06,2026-04-30,mobile
