transaction_id,store_id,product_sku,quantity,unit_price,transaction_date,customer_id
T0000,STORE_01,SKU-APPLE-046,9,8.82,2026-04-06,C157
T0001,STORE_03,SKU-JUICE-039,5,9.57,2026-04-09,C194
T0002,STORE_02,SKU-BREAD-035,4,3.41,2026-05-03,C232
T0003,STORE_01,SKU-JUICE-021,2,6.63,2026-04-16,C170
T0004,STORE_05,SKU-MILK-030,4,9.34,2026-04-07,C173
T0005,STORE_01,SKU-APPLE-032,5,6.5,2026-04-12,C213
T0006,STORE_02,SKU-JUICE-049,1,4.65,2026-04-28,C125
T0007,STORE_01,SKU-JUICE-008,4,2.96,2026-05-04,C144
T0008,STORE_01,SKU-JUICE-001,9,2.56,2026-04-25,C256
T0009,STORE_03,SKU-MILK-036,8,9.18,2026-04-30,C100
T0010,STORE_02,SKU-MILK-002,10,2.07,2026-04-21,C118
T0011,STORE_05,SKU-APPLE-033,8,9.97,2026-04-27,C116
T0012,STORE_01,SKU-JUICE-043,1,8.46,2026-04-17,C188
T0013,STORE_03,SKU-APPLE-037,6,3.01,2026-04-09,C257
T0014,STORE_04,SKU-JUICE-026,8,1.19,2026-04-13,C144
T0015,STORE_04,SKU-JUICE-039,1,8.03,2026-04-07,C146
T0016,STORE_04,SKU-APPLE-003,9,8.99,2026-04-23,C221
T0017,STORE_05,SKU-JUICE-006,5,5.42,2026-05-02,C141
T0018,STORE_02,SKU-APPLE-012,6,7.16,2026-04-30,C252
T0019,STORE_02,SKU-MILK-036,2,9.0,2026-04-18,C154
T0020,STORE_02,SKU-JUICE-034,1,9.54,2026-04-21,C143
T0021,STORE_05,SKU-BREAD-047,8,6.93,2026-04-15,C157
T0022,STORE_05,SKU-JUICE-015,9,7.39,2026-04-19,C127
T0023,STORE_05,SKU-BREAD-037,2,4.53,2026-04-28,C199
T0024,STORE_05,SKU-APPLE-019,10,1.24,2026-04-16,C151
T0025,STORE_03,SKU-MILK-028,1,4.2,2026-04-20,C184
T0026,STORE_02,SKU-JUICE-028,7,3.57,2026-05-02,C181
T0027,STORE_03,SKU-APPLE-009,8,6.66,2026-04-20,C232
T0028,STORE_02,SKU-APPLE-022,6,5.9,2026-04-27,C291
T0029,STORE_05,SKU-BREAD-022,7,6.4,2026-04-26,C123
T0030,STORE_03,SKU-MILK-019,10,1.51,2026-04-22,C211
T0031,STORE_04,SKU-BREAD-027,2,3.43,2026-04-22,C165
T0032,STORE_04,SKU-APPLE-030,8,7.72,2026-04-28,C209
T0033,STORE_03,SKU-MILK-012,1,8.37,2026-04-29,C122
T0034,STORE_01,SKU-BREAD-007,2,4.53,2026-04-19,C284
T0035,STORE_05,SKU-APPLE-009,7,7.45,2026-04-16,C285
T0036,STORE_03,SKU-APPLE-019,8,3.28,2026-04-16,C243
T0037,STORE_05,SKU-BREAD-002,8,2.53,2026-04-06,C205
T0038,STORE_02,SKU-JUICE-029,2,9.37,2026-04-10,C288
T0039,STORE_01,SKU-APPLE-004,2,9.95,2026-04-29,C215
T0040,STORE_01,SKU-JUICE-035,7,6.63,2026-04-24,C105
T0041,STORE_01,SKU-BREAD-010,3,6.96,2026-05-01,C193
T0042,STORE_03,SKU-MILK-020,5,6.12,2026-04-24,C157
T0043,STORE_05,SKU-JUICE-023,2,1.61,2026-04-10,C287
T0044,STORE_05,SKU-JUICE-022,2,2.72,2026-05-03,C112
T0045,STORE_03,SKU-BREAD-045,3,9.04,2026-04-22,C263
T0046,STORE_02,SKU-JUICE-047,5,3.73,2026-04-17,C246
T0047,STORE_03,SKU-MILK-029,9,2.72,2026-04-15,C297
T0048,STORE_03,SKU-BREAD-020,4,8.26,2026-05-01,C115
T0049,STORE_05,SKU-APPLE-033,7,5.76,2026-04-08,C267
T0050,STORE_05,SKU-BREAD-010,9,3.61,2026-04-08,C132
T0051,STORE_03,SKU-BREAD-032,3,9.65,2026-04-16,C214
T0052,STORE_05,SKU-BREAD-046,3,5.79,2026-04-27,C208
T0053,STORE_04,SKU-JUICE-026,5,9.66,2026-04-25,C126
T0054,STORE_03,SKU-MILK-030,4,4.73,2026-04-11,C266
T0055,STORE_02,SKU-JUICE-006,2,9.3,2026-04-30,C163
T0056,STORE_04,SKU-APPLE-044,6,5.9,2026-04-09,C147
T0057,STORE_02,SKU-JUICE-013,5,8.45,2026-04-08,C216
T0058,STORE_02,SKU-APPLE-012,5,1.51,2026-04-07,C285
T0059,STORE_03,SKU-BREAD-007,9,6.89,2026-04-09,C107
T0060,STORE_04,SKU-APPLE-042,3,6.38,2026-04-19,C232
T0061,STORE_04,SKU-JUICE-050,8,9.45,2026-04-25,C119
T0062,STORE_04,SKU-JUICE-015,9,7.94,2026-04-23,C174
T0063,STORE_03,SKU-APPLE-003,10,5.59,2026-05-03,C145
T0064,STORE_01,SKU-APPLE-021,9,8.1,2026-05-01,C147
T0065,STORE_02,SKU-APPLE-041,7,2.58,2026-04-14,C156
T0066,STORE_02,SKU-MILK-037,4,8.76,2026-04-25,C243
T0067,STORE_01,SKU-JUICE-034,10,1.33,2026-04-25,C179
T0068,STORE_01,SKU-APPLE-050,1,5.44,2026-05-03,C261
T0069,STORE_04,SKU-MILK-048,8,1.71,2026-05-04,C155
T0070,STORE_02,SKU-MILK-006,7,4.04,2026-04-30,C182
T0071,STORE_03,SKU-APPLE-046,10,8.51,2026-04-08,C240
